gwl,pH,TDS,HCO3,Cl,F,NO3,SO4,Na,K,Ca,Mg,T.H,SAR,Classification
5.09,8.28,476.8,220.0,60,0.44,42.27681818,46.0,49.0,4.0,48.0,38.896,279.9342105,1.273327902,C2S1
5.1,8.29,589.44,230.0,80,0.56,100.6590909,68.0,42.0,5.0,56.0,63.206,399.8930921,0.913165517,C3S1
4.98,7.69,326.4,200.0,30,0.66,41.47154545,44.0,45.0,2.0,24.0,38.896,219.9342105,1.319283964,C2S1
5.75,8.09,270.08,160.0,10,0.58,10.66986364,35.0,27.0,1.0,32.0,19.448,159.9671053,0.928155164,C2S1
2.15,8.21,1485.44,300.0,340,2.56,128.8436364,280.0,298.0,5.0,56.0,92.378,519.84375,5.682664477,C4S2
8.8,8.29,659.2,340.0,60,0.61,66.435,43.0,73.0,22.0,80.0,34.034,339.9424342,1.72144176,C3S1
3.95,7.62,1362.56,340.0,330,0.65,193.2654545,143.0,162.0,13.0,88.0,126.412,739.7861842,2.589608252,C3S1
3.7,8.31,628.48,210.0,40,1.8,144.9490909,70.0,85.0,5.0,48.0,43.758,299.9259868,2.133949028,C3S1
3.12,8.22,1548.8,420.0,290,0.53,134.8831818,268.0,321.0,6.0,48.0,97.24,519.8355263,6.121307804,C4S2
15.6,8.05,160.0,57.63929176,30,0.07,24.3595,4.0,10.20021285,3.2,24.0,9.724,99.98355263,0.443523991,C2S1
5.59,7.97,1177.6,207.8719019,380,0.59,159.444,37.0,150.3975766,1.9,64.0,106.964,599.8190789,2.669948378,C3S1
5.36,7.93,992.0,547.1956631,140,0.9,11.29395,13.0,190.9923317,6.0,24.0,72.93,359.8766447,4.377349903,C3S1
6.02,8.5,889.6,299.9504311,170,0.71,70.864,30.0,161.8440782,8.0,24.0,68.068,339.8848684,3.816832154,C3S1
11.75,8.0,1612.8,240.9818024,280,0.63,735.214,18.0,235.1246184,17.0,24.0,165.308,739.7203947,3.758689678,C4S1
